?column?
"1,TRK-000001,2025-09-02,17,3946.00,53ft_Flatbed,124,101-300,3.369,2.728,1.693,3.55,6.33,99,26,14.70,3172.00,1974.00,0.79,0.561,false,false,"
"2,TRK-000002,2025-03-14,9,2983.00,Reefer,559,301-1000,3.937,2.215,1.916,4.05,7.07,467,31,19.77,2631.00,1146.00,0.61,0.573,false,false,"
"3,TRK-000003,2025-01-06,5,5670.00,53ft_Dry_Van,325,301-1000,2.697,2.839,1.661,4.26,5.85,246,50,2.01,2008.00,1861.00,0.85,0.728,false,false,"
"4,TRK-000004,2025-04-07,10,14943.00,53ft_Dry_Van,26,0-100,2.429,2.393,2.085,4.75,8.23,22,3,10.93,1883.00,548.00,0.71,0.577,false,false,"
"5,TRK-000005,2025-10-30,8,5463.00,53ft_Flatbed,918,301-1000,2.137,2.582,1.924,4.80,7.42,808,197,8.95,1691.00,331.00,0.75,0.647,false,false,"
"6,TRK-000006,2025-07-28,16,8130.00,Reefer,294,101-300,2.704,3.133,1.543,4.66,5.84,254,21,21.33,2889.00,524.00,0.73,0.798,false,false,"
"7,TRK-000007,2025-09-12,20,4761.00,53ft_Flatbed,203,101-300,1.954,2.869,1.539,3.84,7.63,169,14,2.05,2158.00,323.00,0.58,0.503,false,false,"
"8,TRK-000008,2025-06-10,14,10113.00,53ft_Flatbed,869,301-1000,3.764,3.194,1.914,4.31,5.58,767,126,16.89,1240.00,1342.00,0.74,0.772,false,false,"
"9,TRK-000009,2025-10-09,8,6304.00,53ft_Stepdeck,218,101-300,3.787,3.239,2.322,3.90,7.52,185,48,21.41,1695.00,1468.00,0.57,0.519,false,false,"
"10,TRK-000010,2025-03-30,22,4947.00,53ft_Flatbed,455,301-1000,3.264,2.919,1.411,4.50,7.94,419,110,20.36,1468.00,1683.00,0.57,0.567,false,false,Negative mileage entered"
"11,TRK-000011,2025-03-31,29,5420.00,53ft_Stepdeck,159,101-300,3.077,2.181,1.516,4.75,5.93,140,35,9.30,2269.00,1363.00,0.57,0.801,false,false,Negative mileage entered"
